CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
,,,,,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Annual Flu Vaccine,C04: Monitoring Physical Activity,C05: Special Needs Plan (SNP) Care Management,C06: Care for Older Adults – Medication Review,C07: Care for Older Adults – Pain Assessment,C08: Osteoporosis Management in Women who had a Fracture,C09: Diabetes Care – Eye Exam,C10: Diabetes Care – Kidney Disease Monitoring,C11: Diabetes Care – Blood Sugar Controlled,C12: Controlling Blood Pressure,C13: Reducing the Risk of Falling,C14: Improving Bladder Control,C15: Medication Reconciliation Post-Discharge,C16: Statin Therapy for Patients with Cardiovascular Disease,C17: Getting Needed Care,C18: Getting Appointments and Care Quickly,C19: Customer Service,C20: Rating of Health Care Quality,C21: Rating of Health Plan,C22: Care Coordination,C23: Complaints about the Health Plan,C24: Members Choosing to Leave the Plan,C25: Health Plan Quality Improvement,C26: Plan Makes Timely Decisions about Appeals,C27: Reviewing Appeals Decisions,C28: Call Center – Foreign Language Interpreter and TTY Availability,D01: Call Center – Foreign Language Interpreter and TTY Availability,D02: Complaints about the Drug Plan,D03: Members Choosing to Leave the Plan,D04: Drug Plan Quality Improvement,D05: Rating of Drug Plan,D06: Getting Needed Prescription Drugs,D07: MPF Price Accuracy,D08: Medication Adherence for Diabetes Medications,D09: Medication Adherence for Hypertension (RAS antagonists),D10: Medication Adherence for Cholesterol (Statins),D11: MTM Program Completion Rate for CMR,D12: Statin Use in Persons with Diabetes (SUPD)
,,,,,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,03/2022 – 06/2022,07/19/2021 – 11/01/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,07/19/2021 – 11/01/2021,07/19/2021 – 11/01/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,03/2022 – 06/2022,03/2022 – 06/2022,03/2022 – 06/2022,03/2022 – 06/2022,03/2022 – 06/2022,03/2022 – 06/2022,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,Not Applicable,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,02/2022 – 05/2022,02/2022 – 05/2022,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,Not Applicable,03/2022 – 06/2022,03/2022 – 06/2022,01/01/2021 – 9/30/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021,01/01/2021 – 12/31/2021
H0270 ,Local CCP ,WELLCARE HEALTH INSURANCE COMPANY OF AMERICA ,Wellcare ,Centene Corporation ,No data available ,65%,Plan too small to be measured ,No data available ,66%,86%,86%,Not enough data available ,55%,No data available ,47%,57%,No data available ,No data available ,43%,Not enough data available ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,50%,Not enough data available ,Not enough data available ,Not enough data available ,73%,76%,Not enough data available ,50%,Not enough data available ,Plan too small to be measured ,Plan too small to be measured ,91,80%,85%,79%,79%,88%
H0271 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",70%,78%,64%,49%,82%,94%,96%,40%,82%,97%,83%,75%,62%,45%,62%,83%,81,79,90,84,88,84,0.24,18%,Medicare shows only a Star Rating for this topic ,99%,98%,100%,98%,0.24,18%,Medicare shows only a Star Rating for this topic ,86,89,99,86%,87%,86%,85%,84%
H0292 ,Local CCP ,"HUMANA HEALTH PLAN OF OHIO, INC. ",Humana ,Humana Inc. ,78%,84%,78%,52%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,87%,98%,89%,78%,Not enough data available ,34%,91%,89%,85,82,91,89,88,88,0.1,12%,Medicare shows only a Star Rating for this topic ,100%,96%,100%,100%,0.1,12%,Medicare shows only a Star Rating for this topic ,88,91,89,88%,89%,89%,84%,88%
H0294 ,Local CCP ,UNITEDHEALTHCARE INSURANCE COMPANY ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",80%,84%,80%,51%,81%,95%,97%,39%,80%,98%,87%,80%,49%,50%,64%,88%,85,82,90,88,87,88,0.15,12%,Medicare shows only a Star Rating for this topic ,99%,99%,100%,98%,0.15,12%,Medicare shows only a Star Rating for this topic ,86,90,99,90%,91%,90%,83%,87%
H0302 ,Local CCP ,"MEDISUN, INC. ",Blue Cross Blue Shield of Arizona Advantage ,Blue Cross Blue Shield of Arizona ,71%,74%,78%,51%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,25%,64%,95%,86%,73%,53%,45%,56%,78%,81,75,92,85,87,85,0.07,16%,Medicare shows only a Star Rating for this topic ,99%,91%,98%,95%,0.07,16%,Medicare shows only a Star Rating for this topic ,86,92,98,89%,90%,90%,79%,82%
H0321 ,Local CCP ,"ARIZONA PHYSICIANS IPA, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",67%,76%,68%,54%,79%,92%,93%,47%,78%,95%,73%,75%,66%,49%,59%,81%,77,73,88,Not enough data available ,90,Not enough data available ,0.13,6%,Medicare shows only a Star Rating for this topic ,98%,98%,100%,98%,0.13,6%,Medicare shows only a Star Rating for this topic ,89,89,99,83%,84%,83%,82%,85%
H0332 ,Local CCP ,"KS PLAN ADMINISTRATORS, LLC ",KelseyCare Advantage ,"UnitedHealth Group, Inc. ",79%,80%,83%,61%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,66%,84%,98%,88%,88%,51%,49%,83%,84%,85,84,93,91,93,89,0.11,4%,Medicare shows only a Star Rating for this topic ,100%,99%,98%,100%,0.11,4%,Medicare shows only a Star Rating for this topic ,92,94,91,88%,89%,88%,91%,88%
H0336 ,Demo ,"HUMANA HEALTH PLAN, INC. ",Humana ,Humana Inc. ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available
H0342 ,Local CCP ,"CAREPARTNERS OF CONNECTICUT, INC. ",CarePartners of Connecticut ,"Point32Health, Inc. ",Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too new to be measured ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,92%,100%,Not enough data available ,Not enough data available ,Not enough data available ,Plan too small to be measured ,Plan too small to be measured ,94,Not enough data available ,90%,87%,Not enough data available ,Not enough data available
H0351 ,Local CCP ,"HEALTH NET OF ARIZONA, INC. ",Wellcare by Allwell ,Centene Corporation ,69%,71%,63%,43%,54%,97%,95%,73%,75%,95%,73%,65%,49%,40%,63%,79%,77,71,87,82,81,Not enough data available ,0.75,20%,Medicare shows only a Star Rating for this topic ,83%,95%,70%,77%,0.75,20%,Medicare shows only a Star Rating for this topic ,83,Not enough data available ,95,86%,88%,87%,89%,84%
